Egypt,,Ammo[ ] Epoikion,,600,AD 600,625,AD 625,;
Egypt,,Ammo[ ]i,,600,AD 600,799,AD 799,;
Egypt,,Ammonariou Kleros,in the territory of 00b Herakleia (772),149,AD 149,149,AD 149,;
Egypt,,Ammonias,near 00a Arsinoe kat' Ammoniada (326),-256,BC 256,241,AD 241,;
Egypt,,Ammonieus,in L00 Alexandria (100),-257,BC 257,68,AD 68,;
Egypt,,Ammoniou Amphodon,in 00d Krokodilopolis (Medinet el-Fayum) (327),100,AD 100,199,AD 199,;
Egypt,,Ammoniou Kleros,in the territory of 00c Tebtynis (2287),45,AD 45,46,AD 46,;
Egypt,,Ammonos Chorion,,600,AD 600,699,AD 699,;
Egypt,Hammon,Ammonos Hieron,,-440,BC 440,1283,AD 1283,"29.2051733333,25.5435296667;"
Egypt,,Ammonos Nesos Topos,,100,AD 100,299,AD 299,;
Egypt,,Ammou Epoikion,near 00a Karanis (Kom Aushim) (1008),286,AD 286,799,AD 799,;
Egypt,,Amoeitos Ktema,,600,AD 600,625,AD 625,;
Egypt,,Amothe Kleros,,600,AD 600,699,AD 699,;
Egypt,,Ampelitidos Dioryx,,154,AD 154,154,AD 154,;
ghost name,,Ampelg,,0,AD 0,0,AD 0,;
Egypt,,Ampeliou Epoikion,,166,AD 166,799,AD 799,;
Egypt,,Amph[.]( ),in the territory of 00a Philadelpheia (Gharabet el-Gerza) (1760),30,AD 30,61,AD 61,;
Egypt,,Amphilochou Epoikion,,48,AD 48,49,AD 49,;
Greece,Amphipolis,Amphipolis,on the river Strymon (Struma) (11828),-386,BC 386,450,AD 450,"40.820354,23.847445;"
Greece,Amphissa,Amphissa,,-199,BC 199,799,AD 799,"38.518403,22.374172;"
Egypt,,Amphistratou,,-256,BC 256,-256,BC 256,;
Egypt,,Amyntaiou Epoikion,near 00a Boubastos (463),43,AD 43,175,AD 175,;
Egypt,,An[ ] Chorion,,400,AD 400,599,AD 599,;
ghost name,,And[ ] Chorion,,0,AD 0,0,AD 0,;
Egypt,,Andanieus,in U08 Ptolemais Hermeiou (2023),-278,BC 278,-277,BC 277,;
Egypt,,Andreou Chorion,,500,AD 500,799,AD 799,;
